,Event,Event_encode
0,Basketball Men's Basketball,61
1,Judo Men's Extra-Lightweight,175
2,Badminton Men's Singles,56
3,Sailing Women's Windsurfer,235
5,Athletics Men's Shot Put,26
6,Handball Women's Handball,172
7,Weightlifting Women's Super-Heavyweight,345
8,"Wrestling Men's Light-Heavyweight, Greco-Roman",357
10,Water Polo Men's Water Polo,326
11,Sailing Mixed Three Person Keelboat,226
13,Hockey Women's Hockey,174
14,Rowing Men's Lightweight Double Sculls,202
16,Sailing Men's Two Person Dinghy,219
18,"Athletics Men's 1,500 metres",4
19,Swimming Men's 100 metres Butterfly,268
20,Swimming Men's 200 metres Butterfly,272
21,Swimming Men's 4 x 100 metres Medley Relay,276
24,Football Women's Football,154
25,"Equestrianism Mixed Jumping, Individual",137
26,Boxing Men's Light-Welterweight,72
27,Athletics Women's Javelin Throw,48
29,"Wrestling Men's Heavyweight, Freestyle",352
31,Gymnastics Men's Individual All-Around,160
32,Gymnastics Men's Floor Exercise,157
33,Gymnastics Men's Parallel Bars,161
34,Gymnastics Men's Horizontal Bar,158
35,Gymnastics Men's Rings,163
36,Gymnastics Men's Pommelled Horse,162
37,Athletics Men's Pole Vault,25
38,Taekwondo Men's Flyweight,308
39,"Athletics Men's 5,000 metres",15
41,Rowing Men's Coxless Pairs,199
42,"Fencing Men's epee, Individual",145
43,Judo Men's Half-Middleweight,178
44,Taekwondo Women's Flyweight,312
45,Boxing Men's Flyweight,67
50,Basketball Women's Basketball,62
51,Diving Men's Platform,127
52,"Canoeing Men's Canadian Doubles, 500 metres",81
53,"Canoeing Men's Canadian Doubles, 1,000 metres",80
54,"Canoeing Men's Kayak Fours, 1,000 metres",90
56,Handball Men's Handball,171
59,Rowing Women's Coxless Pairs,209
61,Football Men's Football,153
62,Boxing Men's Middleweight,74
63,Judo Men's Lightweight,180
66,Tennis Men's Doubles,315
67,Shooting Mixed Skeet,252
68,"Wrestling Men's Featherweight, Freestyle",348
69,Sailing Mixed Two Person Heavyweight Dinghy,228
75,Athletics Women's Shot Put,53
76,Rowing Men's Coxed Eights,195
77,Cycling Women's Sprint,124
78,Cycling Women's 500 metres Time Trial,115
79,Athletics Men's 110 metres Hurdles,7
83,Shooting Mixed Trap,255
84,Athletics Women's Marathon,50
85,Athletics Men's 100 metres,6
86,Athletics Men's High Jump,21
87,"Fencing Men's Foil, Individual",141
88,"Fencing Men's Foil, Team",142
89,"Fencing Men's Sabre, Team",144
91,Boxing Men's Lightweight,73
93,Boxing Men's Welterweight,76
95,Rowing Men's Quadruple Sculls,203
96,Rowing Men's Double Sculls,200
98,Rowing Men's Coxed Pairs,197
106,Athletics Men's 400 metres Hurdles,14
107,Athletics Men's 4 x 100 metres Relay,11
109,Athletics Men's 400 metres,13
110,Athletics Men's Hammer Throw,20
111,Weightlifting Men's Lightweight,335
113,Athletics Men's Long Jump,23
115,Weightlifting Men's Featherweight,329
117,Athletics Men's 800 metres,17
118,"Cycling Men's Road Race, Individual",110
119,Swimming Men's 100 metres Freestyle,269
120,Weightlifting Men's Middleweight,337
121,Hockey Men's Hockey,173
128,Rowing Women's Single Sculls,213
130,Swimming Men's 50 metres Freestyle,280
131,Weightlifting Women's Featherweight,339
132,Water Polo Women's Water Polo,327
136,Weightlifting Men's Heavyweight,331
139,"Equestrianism Mixed Three-Day Event, Individual",139
140,"Equestrianism Mixed Three-Day Event, Team",140
145,Sailing Women's Three Person Keelboat,233
146,"Cycling Women's Road Race, Individual",123
148,Softball Women's Softball,263
149,Archery Women's Individual,2
152,"Wrestling Men's Heavyweight, Greco-Roman",353
153,Volleyball Men's Volleyball,324
156,Taekwondo Women's Heavyweight,313
157,Synchronized Swimming Women's Duet,298
158,Synchronized Swimming Women's Team,300
165,Taekwondo Women's Featherweight,311
166,Athletics Men's Marathon,24
167,Athletics Men's 4 x 400 metres Relay,12
169,"Athletics Women's 3,000 metres",35
170,Diving Women's Platform,131
172,"Shooting Men's Air Rifle, 10 metres",237
176,Athletics Men's 200 metres,9
183,Weightlifting Men's Flyweight,330
185,Boxing Men's Featherweight,66
189,"Wrestling Men's Lightweight, Greco-Roman",359
205,"Wrestling Men's Super-Heavyweight, Greco-Roman",363
206,"Shooting Men's Free Pistol, 50 metres",239
207,"Shooting Men's Air Pistol, 10 metres",236
210,"Fencing Men's epee, Team",146
211,Rowing Men's Coxless Fours,198
212,Boxing Men's Light-Flyweight,69
213,Boxing Men's Super-Heavyweight,75
217,"Shooting Women's Air Rifle, 10 metres",257
230,Weightlifting Men's Light-Heavyweight,334
231,Weightlifting Men's Middle-Heavyweight,336
238,Athletics Men's Javelin Throw,22
240,Gymnastics Men's Horse Vault,159
249,Volleyball Women's Volleyball,325
251,"Wrestling Men's Welterweight, Greco-Roman",365
252,"Wrestling Men's Middleweight, Greco-Roman",361
254,"Athletics Men's 10,000 metres",5
255,"Athletics Men's 3,000 metres Steeplechase",10
266,"Wrestling Men's Middleweight, Freestyle",360
269,Swimming Women's 100 metres Backstroke,282
270,Swimming Women's 200 metres Backstroke,286
271,Swimming Women's 4 x 100 metres Medley Relay,292
276,"Wrestling Men's Light-Heavyweight, Freestyle",356
278,Modern Pentathlon Men's Individual,190
280,Modern Pentathlon Men's Team,191
287,Athletics Women's 200 metres,34
292,Table Tennis Women's Singles,305
293,Table Tennis Women's Doubles,304
296,Shooting Men's Skeet,244
307,Swimming Women's 50 metres Freestyle,296
310,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",246
311,"Shooting Men's Rapid-Fire Pistol, 25 metres",241
315,Athletics Women's 100 metres,31
317,"Wrestling Men's Flyweight, Greco-Roman",351
321,Swimming Men's 400 metres Freestyle,278
323,Weightlifting Women's Lightweight,343
330,Athletics Women's Long Jump,49
331,"Fencing Women's epee, Individual",151
334,Swimming Men's 200 metres Freestyle,273
335,Swimming Men's 4 x 100 metres Freestyle Relay,275
336,Swimming Men's 4 x 200 metres Freestyle Relay,277
348,Swimming Men's 100 metres Backstroke,266
349,Swimming Men's 200 metres Backstroke,270
350,Swimming Men's 200 metres Individual Medley,274
355,Swimming Men's 400 metres Individual Medley,279
358,Badminton Women's Singles,59
360,Boxing Men's Light-Middleweight,71
362,Tennis Men's Singles,316
363,Boxing Men's Heavyweight,68
364,"Wrestling Men's Bantamweight, Freestyle",346
370,"Wrestling Men's Flyweight, Freestyle",350
373,"Athletics Women's 5,000 metres",41
376,Weightlifting Women's Light-Heavyweight,342
377,Weightlifting Women's Heavyweight,341
383,Athletics Men's Discus Throw,19
391,Taekwondo Men's Featherweight,307
392,Taekwondo Men's Welterweight,310
394,Judo Men's Heavyweight,179
399,Cycling Men's Sprint,111
404,Boxing Men's Bantamweight,65
411,Baseball Men's Baseball,60
414,Rowing Men's Coxed Fours,196
424,Cycling Men's 100 kilometres Team Time Trial,101
427,"Fencing Men's Sabre, Individual",143
432,Rhythmic Gymnastics Women's Group,193
435,Gymnastics Women's Individual All-Around,168
436,Gymnastics Women's Team All-Around,169
437,Gymnastics Women's Floor Exercise,166
438,Gymnastics Women's Horse Vault,167
439,Gymnastics Women's Uneven Bars,170
440,Gymnastics Women's Balance Beam,165
441,Diving Women's Springboard,132
443,Diving Women's Synchronized Springboard,134
451,"Athletics Women's 10,000 metres",30
453,Judo Women's Half-Middleweight,186
455,Athletics Men's Decathlon,18
459,Athletics Women's 4 x 100 metres Relay,37
470,"Athletics Women's 1,500 metres",28
474,"Shooting Women's Air Pistol, 10 metres",256
475,"Shooting Women's Sporting Pistol, 25 metres",261
478,"Canoeing Men's Kayak Doubles, 500 metres",89
479,"Canoeing Men's Kayak Singles, 500 metres",93
481,"Canoeing Men's Kayak Singles, 1,000 metres",91
485,"Shooting Men's Running Target, 50 metres",243
491,Judo Women's Half-Heavyweight,184
493,Athletics Women's Pole Vault,52
494,Rugby Sevens Women's Rugby Sevens,215
500,Table Tennis Men's Team,303
506,Gymnastics Men's Team All-Around,164
516,Rowing Women's Coxed Eights,205
519,Athletics Women's 4 x 400 metres Relay,38
534,"Cycling Men's 1,000 metres Time Trial",100
535,"Cycling Men's Individual Pursuit, 4,000 metres",103
538,"Wrestling Men's Welterweight, Freestyle",364
545,"Wrestling Men's Bantamweight, Greco-Roman",347
555,Athletics Men's Triple Jump,27
582,Rowing Women's Lightweight Double Sculls,211
584,Athletics Women's 800 metres,43
590,Rowing Women's Coxed Quadruple Sculls,207
608,Rhythmic Gymnastics Women's Individual,194
609,"Canoeing Men's Kayak Singles, Slalom",94
610,Archery Men's Individual,0
611,Archery Men's Team,1
616,Swimming Women's 4 x 100 metres Freestyle Relay,291
618,Athletics Women's 400 metres,39
630,Trampolining Men's Individual,320
640,Swimming Men's 200 metres Breaststroke,271
