,Team,Team_encode
0,China,39
2,Finland,62
6,Norway,135
7,Romania,151
10,Netherlands,129
18,France,63
26,Morocco,123
27,Estonia,59
31,Spain,173
38,Egypt,55
40,Bulgaria,28
41,Italy,87
43,Chad,37
44,Azerbaijan,12
45,Sudan,175
46,Russia,152
48,Argentina,7
51,Cuba,45
54,Belarus,17
60,Greece,69
61,Cameroon,32
63,Turkey,190
66,Mexico,117
67,Chile,38
68,USA,194
85,Nicaragua,131
90,Hungary,78
91,Nigeria,133
93,Algeria,2
106,Kuwait,96
109,Bahrain,14
110,Pakistan,137
111,Iraq,84
116,Lebanon,100
120,Qatar,148
124,Malaysia,110
128,Iran,83
137,Canada,33
139,Ireland,85
141,Australia,10
142,South Africa,170
160,Eritrea,58
166,Tanzania,183
169,Jordan,91
188,Tunisia,189
199,Libya,103
253,Belgium,18
259,Djibouti,51
268,Palestine,139
275,Comoros,41
286,Kazakhstan,92
287,Brunei,27
300,Saudi Arabia,160
301,Syria,180
306,Maldives,111
312,Ethiopia,60
319,United Arab Emirates,197
320,Yemen,205
323,Indonesia,82
333,Philippines,144
358,Singapore,165
366,Uzbekistan,199
391,Kyrgyzstan,97
394,Tajikistan,182
405,Japan,90
420,Republic of Congo,150
430,Brazil,26
435,Germany,67
465,Sweden,178
474,Sri Lanka,174
477,Armenia,8
478,Ivory Coast,88
494,Kenya,93
501,Benin,20
518,Ghana,68
524,Somalia,169
554,Niger,132
570,Mali,112
577,UK,193
583,Switzerland,179
584,India,80
590,Poland,145
596,Costa Rica,43
598,Panama,140
608,Georgia,66
609,Slovenia,167
618,Guyana,75
621,Portugal,146
640,Paraguay,142
643,Angola,5
646,Venezuela,201
653,Colombia,40
671,Bangladesh,15
691,Peru,143
737,Uruguay,198
739,El Salvador,56
740,Puerto Rico,147
769,Uganda,195
798,New Zealand,130
807,Honduras,77
815,Ecuador,54
843,Turkmenistan,191
857,Mauritius,116
860,Seychelles,163
863,Czech Republic,48
884,Mauritania,115
921,Saint Kitts,154
932,Trinidad,188
936,Dominican Republic,53
940,Saint Vincent,156
977,Jamaica,89
1013,Liberia,102
1029,Suriname,176
1080,Nepal,128
1100,Mongolia,121
1134,Palau,138
1137,Lithuania,105
1154,Monaco,120
1159,Togo,186
1168,Namibia,126
1175,Curacao,46
1194,Ukraine,196
1203,Iceland,79
1204,American Samoa,3
1207,Austria,11
1244,Samoa,157
1286,Rwanda,153
1292,Croatia,44
1297,Dominica,52
1316,Haiti,76
1322,Denmark,50
1346,Malta,113
1363,Luxembourg,106
1388,Cyprus,47
1405,Guinea,73
1458,Belize,19
1764,Bermuda,21
1795,Serbia,162
1816,Sierra Leone,164
1936,Papua New Guinea,141
2041,Afghanistan,0
2077,Individual Olympic Athletes,81
2088,Oman,136
2761,Fiji,61
2823,Vanuatu,200
2899,Moldova,119
2915,Bahamas,13
2950,Guatemala,72
3069,Latvia,99
3078,Israel,86
3145,"Virgin Islands, British",203
3222,Mozambique,124
3251,"Virgin Islands, US",204
3299,Central African Republic,36
3310,Madagascar,108
3356,Bosnia and Herzegovina,24
3360,Guam,71
3463,Cayman Islands,35
3472,Slovakia,166
3549,Barbados,16
3674,Guinea-Bissau,74
4057,Thailand,184
4092,Timor-Leste,185
4161,Democratic Republic of the Congo,49
4172,Gabon,64
4263,San Marino,158
4327,Laos,98
4364,Botswana,25
4368,Refugee Olympic Athletes,149
4421,South Korea,171
4433,Cambodia,31
4436,North Korea,134
4496,Solomon Islands,168
4840,Senegal,161
4847,Cape Verde,34
5325,Equatorial Guinea,57
5341,Boliva,23
5594,Antigua,6
5957,Andorra,4
6543,Zimbabwe,207
6550,Grenada,70
7019,Saint Lucia,155
7037,Micronesia,118
7061,Myanmar,125
7343,Malawi,109
7616,Zambia,206
8082,Taiwan,181
8089,Sao Tome and Principe,159
8383,Macedonia,107
8956,Liechtenstein,104
9298,Montenegro,122
9990,Gambia,65
10882,Cook Islands,42
10969,Albania,1
13030,Swaziland,177
13138,Burkina Faso,29
13511,Burundi,30
13704,Aruba,9
17057,Nauru,127
18792,Vietnam,202
24087,Bhutan,22
27721,Marshall Islands,114
29873,Kiribati,94
38183,Tuvalu,192
39174,Tonga,187
47197,Kosovo,95
53675,South Sudan,172
56249,Lesotho,101
